,player_id,given_name,family_name,count_tournaments,team_count,list_tournaments,team_name,team_code,full_name
1401,P-01636,Tomas,Antonelius,1,1,2002,Sweden,SWE,Tomas Antonelius
1402,P-01637,Gabi,Balint,1,1,1990,Romania,ROU,Gabi Balint
1403,P-01638,Dominik,Livaković,2,1,"2018, 2022",Croatia,HRV,Dominik Livaković
1404,P-01640,not applicable,Armandinho,1,1,1934,Brazil,BRA,Armandinho
1405,P-01641,Dmitri,Radchenko,1,1,1994,Russia,RUS,Dmitri Radchenko
1406,P-01642,Eligio,Insfrán,1,1,1958,Paraguay,PRY,Eligio Insfrán
1407,P-01644,Panteley,Dimitrov,1,1,1962,Bulgaria,BGR,Panteley Dimitrov
1408,P-01646,Emmanuel,Adebayor,1,1,2006,Togo,TGO,Emmanuel Adebayor
1409,P-01647,Imre,Kiss,1,1,1982,Hungary,HUN,Imre Kiss
1410,P-01648,Alexandre,Czerniatynski,2,1,"1982, 1994",Belgium,BEL,Alexandre Czerniatynski
1411,P-01649,Manuel,Rojas,1,1,1982,Chile,CHL,Manuel Rojas
1412,P-01651,Miguel Ángel,Díaz,1,1,1982,El Salvador,SLV,Miguel Ángel Díaz
1413,P-01653,Alfredo,Devincenzi,1,1,1934,Argentina,ARG,Alfredo Devincenzi
1414,P-01654,Jay,DeMerit,1,1,2010,United States,USA,Jay DeMerit
1415,P-01655,Junior,Hoilett,1,1,2022,Canada,CAN,Junior Hoilett
1416,P-01656,Rudi,Smidts,1,1,1994,Belgium,BEL,Rudi Smidts
1417,P-01658,Velko,Yotov,1,1,1994,Bulgaria,BGR,Velko Yotov
1418,P-01660,Iraj,Danaeifard,1,1,1978,Iran,IRN,Iraj Danaeifard
1419,P-01662,Holger,Hieronymus,1,1,1982,West Germany,DEU,Holger Hieronymus
1420,P-01663,Ricardo,Gardner,1,1,1998,Jamaica,JAM,Ricardo Gardner
1421,P-01664,Luis,Santos Silva,1,1,1958,Paraguay,PRY,Luis Santos Silva
1422,P-01665,Rodrigo,Barrera,1,1,1998,Chile,CHL,Rodrigo Barrera
1423,P-01667,Daaf,Drok,1,1,1938,Netherlands,NLD,Daaf Drok
1424,P-01668,Ove,Grahn,2,1,"1970, 1974",Sweden,SWE,Ove Grahn
1425,P-01669,Harry,Andersson,1,1,1938,Sweden,SWE,Harry Andersson
1426,P-01670,Steven,Lustü,1,1,2002,Denmark,DNK,Steven Lustü
1427,P-01671,Ron,Staniforth,1,1,1954,England,ENG,Ron Staniforth
1428,P-01672,Hans,Siegenthaler,1,1,1950,Switzerland,CHE,Hans Siegenthaler
1429,P-01673,Walter,Boyd,1,1,1998,Jamaica,JAM,Walter Boyd
1430,P-01674,Ján,Kocian,1,1,1990,Czechoslovakia,CSK,Ján Kocian
1431,P-01675,Thomas,Berthold,3,1,"1986, 1990, 1994","West Germany,Germany",DEU,Thomas Berthold
1432,P-01676,Rafael,Alkorta,3,1,"1990, 1994, 1998",Spain,ESP,Rafael Alkorta
1433,P-01677,Mladen,Krstajić,1,1,2006,Serbia and Montenegro,SCG,Mladen Krstajić
1434,P-01678,Alberto,Cardaccio,1,1,1974,Uruguay,URY,Alberto Cardaccio
1435,P-01679,Stefan,Mitrović,1,1,2022,Serbia,SRB,Stefan Mitrović
1436,P-01680,Oleksandr,Yatsenko,1,1,2006,Ukraine,UKR,Oleksandr Yatsenko
1437,P-01682,Aleksandar,Ivoš,1,1,1962,Yugoslavia,YUG,Aleksandar Ivoš
1438,P-01683,Steve,Foster,1,1,1982,England,ENG,Steve Foster
1439,P-01684,Cheikhou,Kouyaté,2,1,"2018, 2022",Senegal,SEN,Cheikhou Kouyaté
1440,P-01685,Oleh,Shelayev,1,1,2006,Ukraine,UKR,Oleh Shelayev
1441,P-01686,Mario,Balotelli,1,1,2014,Italy,ITA,Mario Balotelli
1442,P-01687,Carlos,Hermosillo,2,1,"1986, 1994",Mexico,MEX,Carlos Hermosillo
1443,P-01689,Basarab,Panduru,1,1,1994,Romania,ROU,Basarab Panduru
1444,P-01690,Mark,Bresciano,3,1,"2006, 2010, 2014",Australia,AUS,Mark Bresciano
1445,P-01691,Juan,Gómez,1,1,1954,Mexico,MEX,Juan Gómez
1446,P-01692,Thabet,El-Batal,1,1,1990,Egypt,EGY,Thabet El-Batal
1447,P-01694,not applicable,Sinha,1,1,2006,Mexico,MEX,Sinha
1448,P-01695,Ayman,Shawky,1,1,1990,Egypt,EGY,Ayman Shawky
1449,P-01696,Frank,Klopas,1,1,1994,United States,USA,Frank Klopas
1450,P-01697,Alejandro,Mancuso,1,1,1994,Argentina,ARG,Alejandro Mancuso
1451,P-01699,Raúl,Lara,1,1,1998,Mexico,MEX,Raúl Lara
1452,P-01700,Bernard,Diomède,1,1,1998,France,FRA,Bernard Diomède
1453,P-01701,not applicable,Trézéguet,1,1,2018,Egypt,EGY,Trézéguet
1454,P-01702,Jacky,Peeters,1,1,2002,Belgium,BEL,Jacky Peeters
1455,P-01703,Jin,Jiang,1,1,2002,China,CHN,Jin Jiang
1456,P-01704,Ante,Rebić,2,1,"2014, 2018",Croatia,HRV,Ante Rebić
1457,P-01705,Sigfried,Held,2,1,"1966, 1970",West Germany,DEU,Sigfried Held
1458,P-01706,Ahmed,Bahja,1,1,1994,Morocco,MAR,Ahmed Bahja
1459,P-01707,Jean,Van Steen,1,1,1954,Belgium,BEL,Jean Van Steen
1460,P-01708,Guillermo,Stábile,1,1,1930,Argentina,ARG,Guillermo Stábile
1461,P-01709,Heinz,Kwiatkowski,2,1,"1954, 1958",West Germany,DEU,Heinz Kwiatkowski
1462,P-01710,Dominique,Baratelli,2,1,"1978, 1982",France,FRA,Dominique Baratelli
1463,P-01711,Don,Howe,2,1,"1958, 1962",England,ENG,Don Howe
1464,P-01713,Giovanni,van Bronckhorst,3,1,"1998, 2006, 2010",Netherlands,NLD,Giovanni van Bronckhorst
1465,P-01714,Eddie,McGoldrick,1,1,1994,Republic of Ireland,IRL,Eddie McGoldrick
1466,P-01715,George,Hamilton,1,1,1954,Scotland,SCO,George Hamilton
1467,P-01716,Tommy,Finney,1,1,1982,Northern Ireland,NIR,Tommy Finney
1468,P-01717,Juan,Burgueño,1,1,1950,Uruguay,URY,Juan Burgueño
1469,P-01718,Mario,Kempes,3,1,"1974, 1978, 1982",Argentina,ARG,Mario Kempes
1470,P-01719,Mauro,Galvão,2,1,"1986, 1990",Brazil,BRA,Mauro Galvão
1471,P-01720,Kamil,Glik,2,1,"2018, 2022",Poland,POL,Kamil Glik
1472,P-01721,Ndaye,Mulamba,1,1,1974,Zaire,COD,Ndaye Mulamba
1473,P-01722,Iván,Hurtado,2,1,"2002, 2006",Ecuador,ECU,Iván Hurtado
1474,P-01723,Cesc,Fàbregas,3,1,"2006, 2010, 2014",Spain,ESP,Cesc Fàbregas
1475,P-01724,Erik,Mykland,2,1,"1994, 1998",Norway,NOR,Erik Mykland
1476,P-01725,Karim,Haggui,1,1,2006,Tunisia,TUN,Karim Haggui
1477,P-01726,Luiz,Luz,1,1,1934,Brazil,BRA,Luiz Luz
1478,P-01727,Vlatko,Marković,1,1,1962,Yugoslavia,YUG,Vlatko Marković
1479,P-01728,Teófilo,Cubillas,3,1,"1970, 1978, 1982",Peru,PER,Teófilo Cubillas
1480,P-01729,John,Sivebæk,1,1,1986,Denmark,DNK,John Sivebæk
1481,P-01730,Antonio,Rattín,2,1,"1962, 1966",Argentina,ARG,Antonio Rattín
1482,P-01731,Renato,Olmi,1,1,1938,Italy,ITA,Renato Olmi
1483,P-01732,Eduardo,Ramos,1,1,1978,Mexico,MEX,Eduardo Ramos
1484,P-01733,Sergio,Navarro,1,1,1962,Chile,CHL,Sergio Navarro
1485,P-01734,Juan,Cayasso,1,1,1990,Costa Rica,CRI,Juan Cayasso
1486,P-01735,Gyula,Zsengellér,1,1,1938,Hungary,HUN,Gyula Zsengellér
1487,P-01736,Manuel,Chorens,1,1,1938,Cuba,CUB,Manuel Chorens
1488,P-01737,Cesare,Maldini,1,1,1962,Italy,ITA,Cesare Maldini
1489,P-01738,David,Weir,1,1,1998,Scotland,SCO,David Weir
1490,P-01739,Davor,Šuker,3,2,"1990, 1998, 2002","Yugoslavia,Croatia","YUG,HRV",Davor Šuker
1491,P-01740,Luis,Suárez,4,1,"2010, 2014, 2018, 2022",Uruguay,URY,Luis Suárez
1492,P-01741,Martin,Petráš,1,1,2010,Slovakia,SVK,Martin Petráš
1493,P-01742,Roald,Amundsen,1,1,1938,Norway,NOR,Roald Amundsen
1494,P-01744,Américo,Gallego,2,1,"1978, 1982",Argentina,ARG,Américo Gallego
1495,P-01745,Mohammed,Chaouch,1,1,1994,Morocco,MAR,Mohammed Chaouch
1496,P-01747,Herbert,Wimmer,1,1,1974,West Germany,DEU,Herbert Wimmer
1497,P-01748,Richard,Witschge,1,1,1990,Netherlands,NLD,Richard Witschge
1498,P-01753,Gustavo,López,1,1,2002,Argentina,ARG,Gustavo López
1499,P-01754,Gyula,Polgár,2,1,"1934, 1938",Hungary,HUN,Gyula Polgár
1500,P-01755,not applicable,Roberto,1,1,1990,Spain,ESP,Roberto
1501,P-01756,Fred,Martin,1,1,1954,Scotland,SCO,Fred Martin
1502,P-01757,Rudolf,Raftl,2,2,"1934, 1938","Austria,Germany","AUT,DEU",Rudolf Raftl
1503,P-01758,Ronald,Koeman,2,1,"1990, 1994",Netherlands,NLD,Ronald Koeman
1504,P-01759,Karlheinz,Förster,2,1,"1982, 1986",West Germany,DEU,Karlheinz Förster
